标题6,标题链接1,字段1
AI Studio ERNIE-Bot-SDK开发使用文档,https://aistudio.baidu.com/datasetdetail/236195,
眼疾识别数据集iChallenge-PM,https://aistudio.baidu.com/datasetdetail/23828,
安全帽检测数据集 (Helmet Detection),https://aistudio.baidu.com/datasetdetail/50329,
千言数据集：情感分析,https://aistudio.baidu.com/datasetdetail/53469,
BDD100K-实例分割部分,https://aistudio.baidu.com/datasetdetail/106871,
车道线检测数据集,https://aistudio.baidu.com/datasetdetail/68698,
智能交通电子提示装置检测,https://aistudio.baidu.com/datasetdetail/79834,
baike_qa2019 百科类问答json版,https://aistudio.baidu.com/datasetdetail/107726,
【第六届信也科技杯图像算法大赛】智能零售柜商品识别,https://aistudio.baidu.com/datasetdetail/91732,
ModelNet10,https://aistudio.baidu.com/datasetdetail/108288,
新闻分类数据集sample(thu),https://aistudio.baidu.com/datasetdetail/16287,
X光手部小关节分类数据集（基于骨龄计分法RUS-CHN),https://aistudio.baidu.com/datasetdetail/69582,
跌倒检测数据集Fall detection Dataset,https://aistudio.baidu.com/datasetdetail/94809,
AG的新闻文章语料库,https://aistudio.baidu.com/datasetdetail/103780,
行人检测,https://aistudio.baidu.com/datasetdetail/89891,
垃圾分类图片,https://aistudio.baidu.com/datasetdetail/35095,
CIFAR10数据集,https://aistudio.baidu.com/datasetdetail/68,
口罩人脸分类数据集,https://aistudio.baidu.com/datasetdetail/22392,
人脸关键点识别,https://aistudio.baidu.com/datasetdetail/69065,
车道线检测Baseline资源包,https://aistudio.baidu.com/datasetdetail/68691,
新冠疫情相似句对,https://aistudio.baidu.com/datasetdetail/48492,
AI识虫数据集,https://aistudio.baidu.com/datasetdetail/34213,
新冠冠面CT组合数据集,https://aistudio.baidu.com/datasetdetail/34241,
中药材识别数据集,https://aistudio.baidu.com/datasetdetail/55190,
国际象棋游戏数据集,https://aistudio.baidu.com/datasetdetail/106659,
FoodLogoDet-1500：大规模食品logo检测数据集,https://aistudio.baidu.com/datasetdetail/106774,
Logo-2K+：大规模logo分类数据集,https://aistudio.baidu.com/datasetdetail/106775,
xw_dev,https://aistudio.baidu.com/datasetdetail/117114,
Openpose_pretrained_model,https://aistudio.baidu.com/datasetdetail/66164,
ernie_finetune_lesson,https://aistudio.baidu.com/datasetdetail/12526,
nottingham-dataset,https://aistudio.baidu.com/datasetdetail/68919,
model_PaddleDetection,https://aistudio.baidu.com/datasetdetail/88824,
PaddleDetection_Edgeboard,https://aistudio.baidu.com/datasetdetail/141396,
vox-5segments.pth.tar,https://aistudio.baidu.com/datasetdetail/53911,
NovelAI相关模型,https://aistudio.baidu.com/datasetdetail/172566,
Zelda,https://aistudio.baidu.com/datasetdetail/217163,
FCOS_pretrained,https://aistudio.baidu.com/datasetdetail/52394,
MobileNet预训练模型,https://aistudio.baidu.com/datasetdetail/7948,
PR_Food-10,https://aistudio.baidu.com/datasetdetail/115621,
安家影评数据分析数据集,https://aistudio.baidu.com/datasetdetail/36715,
模型量化校准数据集-ImageNet2012分类图片100张,https://aistudio.baidu.com/datasetdetail/38675,
mnist_variations,https://aistudio.baidu.com/datasetdetail/23636,
transfer_learning,https://aistudio.baidu.com/datasetdetail/7826,
机器学习-实践二十八：图像风格迁移,https://aistudio.baidu.com/datasetdetail/130484,
PaddleRec+MovieLens,https://aistudio.baidu.com/datasetdetail/40302,
【计算机视觉】17、实践十七：基于ECO的视频分类,https://aistudio.baidu.com/datasetdetail/157925,
PaddleDetection,https://aistudio.baidu.com/datasetdetail/16330,
real-scene-dataset,https://aistudio.baidu.com/datasetdetail/89086,
【计算机视觉】18、实践十八：基于GAN的手写数字生成,https://aistudio.baidu.com/datasetdetail/157928,
PaddleSeg-release-2.4,https://aistudio.baidu.com/datasetdetail/127073,
2020百度之星开发者大赛官方基线系统数据集,https://aistudio.baidu.com/datasetdetail/42023,
ml-1m,https://aistudio.baidu.com/datasetdetail/2366,
imagenet_example,https://aistudio.baidu.com/datasetdetail/37441,
YouTUbe 8M数据集—demo,https://aistudio.baidu.com/datasetdetail/10073,
口罩数据-0317,https://aistudio.baidu.com/datasetdetail/24982,
PaddleDetection2.1_with_PCB_params,https://aistudio.baidu.com/datasetdetail/103033,
chatbot,https://aistudio.baidu.com/datasetdetail/86365,
数据准备和特征工程4-2,https://aistudio.baidu.com/datasetdetail/20531,
oxford102flowers（原版）,https://aistudio.baidu.com/datasetdetail/60139,
小度熊数据集,https://aistudio.baidu.com/datasetdetail/69186,
MSRA-TD500,https://aistudio.baidu.com/datasetdetail/56910,
新闻标题分类_竞赛数据集,https://aistudio.baidu.com/datasetdetail/9658,
月亮月饼灯笼兔子目标检测,https://aistudio.baidu.com/datasetdetail/53433,
【自然语言处理】- 12、实践十二：基于PaddleHub的低俗文本审核,https://aistudio.baidu.com/datasetdetail/158100,
Paddle-video_2021_8_20,https://aistudio.baidu.com/datasetdetail/105057,
NLPCC2018Task7KBQA知识库数据集,https://aistudio.baidu.com/datasetdetail/120603,
infer_3,https://aistudio.baidu.com/datasetdetail/5286,
斯坦福车辆识别数据集,https://aistudio.baidu.com/datasetdetail/130,
PaddleDetection,https://aistudio.baidu.com/datasetdetail/128844,
恶意软件数据分析,https://aistudio.baidu.com/datasetdetail/69222,
PaddleVideo_ava,https://aistudio.baidu.com/datasetdetail/119693,
mnist_CNN_合肥,https://aistudio.baidu.com/datasetdetail/9636,
【自然语言处理】- 11、实践十一：基于LSTM网络的谣言检测,https://aistudio.baidu.com/datasetdetail/158090,
CRNN预训练参数,https://aistudio.baidu.com/datasetdetail/6963,
『李宏毅课程-机器学习』PM2.5预测,https://aistudio.baidu.com/datasetdetail/74719,
couplet_pretrained_model,https://aistudio.baidu.com/datasetdetail/92669,
新闻地图，5月前5天,https://aistudio.baidu.com/datasetdetail/63541,
中石油第二届梦想云创新大赛初赛数据集,https://aistudio.baidu.com/datasetdetail/57195,
中文新闻文本标题分类,https://aistudio.baidu.com/datasetdetail/12701,
泰坦尼克号幸存者数据集(特征工程处理后),https://aistudio.baidu.com/datasetdetail/54961,
base_train,https://aistudio.baidu.com/datasetdetail/179474,
无限恐怖文本数据,https://aistudio.baidu.com/datasetdetail/187975,
【计算机视觉】7、实践七：基于深度神经网络的宝石分类,https://aistudio.baidu.com/datasetdetail/157904,
Attention-OCR预训练参数,https://aistudio.baidu.com/datasetdetail/8490,
DOTA 1.0单尺度切图数据集,https://aistudio.baidu.com/datasetdetail/177410,
飞机识别,https://aistudio.baidu.com/datasetdetail/1589,
【官方】第十五届中国计算机设计大赛智慧导盲组训练数据集,https://aistudio.baidu.com/datasetdetail/137625,
Mini-ImageNet,https://aistudio.baidu.com/datasetdetail/34074,
PaddleSeg,https://aistudio.baidu.com/datasetdetail/48694,
常规赛：个贷违约预测-训练数据集,https://aistudio.baidu.com/datasetdetail/130186,
猫十二分类数据集,https://aistudio.baidu.com/datasetdetail/7983,
ctr-code,https://aistudio.baidu.com/datasetdetail/8449,
2020中国华录杯·数据湖算法大赛—定向算法赛（车道线识别）,https://aistudio.baidu.com/datasetdetail/54289,
单目 3D 检测,https://aistudio.baidu.com/datasetdetail/141443,
Stable Diffusion,https://aistudio.baidu.com/datasetdetail/172535,
计算机视觉-2、实践二：随机数生成与排序,https://aistudio.baidu.com/datasetdetail/154698,
【计算机视觉】21、实践二十一：基于CycleGaN的图像风格迁移,https://aistudio.baidu.com/datasetdetail/157931,
ernie-1.0-finetuning-on-chnsenticorp,https://aistudio.baidu.com/datasetdetail/88390,
rmcv,https://aistudio.baidu.com/datasetdetail/46309,
【计算机视觉】11、实践十一：两阶段目标检测（Faster RCNN）,https://aistudio.baidu.com/datasetdetail/157914,
机器学习四,https://aistudio.baidu.com/datasetdetail/131368,
【自然语言处理】- 21、实践二十一：基于ERNIE-GEN的中文自动文摘,https://aistudio.baidu.com/datasetdetail/158136,
【自然语言处理】-24、实践二十四：基于预训练-微调的机器阅读理解,https://aistudio.baidu.com/datasetdetail/158577,
TibetanMNIST数据集,https://aistudio.baidu.com/datasetdetail/2134,
PaddleSeg,https://aistudio.baidu.com/datasetdetail/16973,
人脸贴图视频素材,https://aistudio.baidu.com/datasetdetail/57440,
口罩预测图片,https://aistudio.baidu.com/datasetdetail/23615,
斑马线检测数据集,https://aistudio.baidu.com/datasetdetail/55791,
zhangziyi,https://aistudio.baidu.com/datasetdetail/22141,
example_0/6,https://aistudio.baidu.com/datasetdetail/17545,
dsgesture(0-9),https://aistudio.baidu.com/datasetdetail/7876,
猫狗大战-学习,https://aistudio.baidu.com/datasetdetail/20743,
机器学习-实践二十六：目标检测,https://aistudio.baidu.com/datasetdetail/130470,
垃圾分类,https://aistudio.baidu.com/datasetdetail/80000,
M3CV Dataset,https://aistudio.baidu.com/datasetdetail/151025,
KITTI_segmentation,https://aistudio.baidu.com/datasetdetail/143809,
李宏毅机器学习第一课作业数据集,https://aistudio.baidu.com/datasetdetail/66967,
行人检测数据集TownCentre,https://aistudio.baidu.com/datasetdetail/42934,
数据准备和特征工程3-2,https://aistudio.baidu.com/datasetdetail/20512,
百度网盘AI大赛-图像处理挑战赛：水印智能消除赛 训练集1,https://aistudio.baidu.com/datasetdetail/142446,
flowers102数据集,https://aistudio.baidu.com/datasetdetail/31417,
房价预测,https://aistudio.baidu.com/datasetdetail/1810,
波士顿房价预测数据集,https://aistudio.baidu.com/datasetdetail/7802,
mnist_CNN——训练营,https://aistudio.baidu.com/datasetdetail/3570,
fer2013表情识别数据,https://aistudio.baidu.com/datasetdetail/37584,
遥感影像分割——Massachusetts Roads,https://aistudio.baidu.com/datasetdetail/56961,
私有数据集,https://aistudio.baidu.com/datasetdetail/202079,
Plato2 基于luge训练的小模型包（基于paddlehub）,https://aistudio.baidu.com/datasetdetail/57576,
泰坦尼克号遇难,https://aistudio.baidu.com/datasetdetail/6374,
疲劳驾驶数据集,https://aistudio.baidu.com/datasetdetail/85880,
云南昆明部分气象数据,https://aistudio.baidu.com/datasetdetail/60013,
中文分词fluid,https://aistudio.baidu.com/datasetdetail/840,
鸢尾花数据集,https://aistudio.baidu.com/datasetdetail/107501,
桃脸识别,https://aistudio.baidu.com/datasetdetail/103593,
红绿灯检测_练习_测试集(非比赛数据）,https://aistudio.baidu.com/datasetdetail/30990,
Minst数据集,https://aistudio.baidu.com/datasetdetail/52676,
谣言检测数据集,https://aistudio.baidu.com/datasetdetail/72968,
垃圾分类测试集,https://aistudio.baidu.com/datasetdetail/33404,
AI识虫数据集,https://aistudio.baidu.com/datasetdetail/19748,
MarTech Track1,https://aistudio.baidu.com/datasetdetail/19383,
脸部关键点识别,https://aistudio.baidu.com/datasetdetail/60,
人脸识别,https://aistudio.baidu.com/datasetdetail/90145,
四种奥特曼图片,https://aistudio.baidu.com/datasetdetail/101651,
IAILD,https://aistudio.baidu.com/datasetdetail/101908,
DataFountain产品评论观点提取数据集,https://aistudio.baidu.com/datasetdetail/110473,
顾客购物订单数据集,https://aistudio.baidu.com/datasetdetail/95120,
NLP -- 停用词表,https://aistudio.baidu.com/datasetdetail/81223,
表格结构化,https://aistudio.baidu.com/datasetdetail/186448,
?纽约市出租车需求数据集,https://aistudio.baidu.com/datasetdetail/106368,
SMP微博情绪6分类数据集,https://aistudio.baidu.com/datasetdetail/104703,
yolo_50新版参数,https://aistudio.baidu.com/datasetdetail/32091,
数据挖掘课程数据集02,https://aistudio.baidu.com/datasetdetail/154243,
TREC2005-2007垃圾邮件数据集,https://aistudio.baidu.com/datasetdetail/89631,
锂离子电池生产参数调控及生产温度预测挑战赛数据集,https://aistudio.baidu.com/datasetdetail/227148,
PASCAL VOC2012,https://aistudio.baidu.com/datasetdetail/159243,
chilloutmix_NiPrunedFp32Fix,https://aistudio.baidu.com/datasetdetail/193534,
ProvinceGDP,https://aistudio.baidu.com/datasetdetail/12847,
猫脸识别,https://aistudio.baidu.com/datasetdetail/256,
food_11,https://aistudio.baidu.com/datasetdetail/75768,
fruits 常见水果分类,https://aistudio.baidu.com/datasetdetail/64431,
【自然语言处理】- 13、实践十三：基于LSTM的命名实体识别,https://aistudio.baidu.com/datasetdetail/158119,
【自然语言处理】-23、实践二十三：基于Bi-DAF的机器阅读理解,https://aistudio.baidu.com/datasetdetail/158575,
5种中草药的数据集,https://aistudio.baidu.com/datasetdetail/70575,
VGG16预训练参数,https://aistudio.baidu.com/datasetdetail/6489,
交通标示牌yoloV3模型数据集,https://aistudio.baidu.com/datasetdetail/17748,
国际大赛测试集,https://aistudio.baidu.com/datasetdetail/94086,
wmt171819_enzh_测试数据,https://aistudio.baidu.com/datasetdetail/60419,
天气预测,https://aistudio.baidu.com/datasetdetail/82889,
UCF101视频分类数据集,https://aistudio.baidu.com/datasetdetail/101478,
北京市空气质量数据,https://aistudio.baidu.com/datasetdetail/191551,
ERNIE3.0,https://aistudio.baidu.com/datasetdetail/158935,
美食分类数据集,https://aistudio.baidu.com/datasetdetail/51159,
农民身份识别挑战赛公开数据,https://aistudio.baidu.com/datasetdetail/233283,
手势识别（含数据拆分示例代码）,https://aistudio.baidu.com/datasetdetail/54000,
斑马线检测数据集,https://aistudio.baidu.com/datasetdetail/55217,
PaddleGAN,https://aistudio.baidu.com/datasetdetail/76944,
百度网盘AI大赛：文档图像阴影消除测试数据集,https://aistudio.baidu.com/datasetdetail/129115,
2023CSIG-飞桨、工银瑞信金融科技挑战赛——官方数据集(初赛),https://aistudio.baidu.com/datasetdetail/230997,
2018年 农作物病害数据集,https://aistudio.baidu.com/datasetdetail/101323,
新冠X-射线图像识别,https://aistudio.baidu.com/datasetdetail/121203,
官方-软件杯比赛测试数据集,https://aistudio.baidu.com/datasetdetail/87776,
波士顿房价,https://aistudio.baidu.com/datasetdetail/106314,
DuReader,https://aistudio.baidu.com/datasetdetail/9722,
车牌字符数据集,https://aistudio.baidu.com/datasetdetail/18414,
深度学习常用python库_数据集,https://aistudio.baidu.com/datasetdetail/37255,
英文字母单词识别,https://aistudio.baidu.com/datasetdetail/6927,
A05,https://aistudio.baidu.com/datasetdetail/24501,
有限边缘算力下电路板缺陷检测,https://aistudio.baidu.com/datasetdetail/73416,
图像去模糊,https://aistudio.baidu.com/datasetdetail/154440,
Nails,https://aistudio.baidu.com/datasetdetail/68764,
2022AIWIN竞赛数据集（国泰君安）,https://aistudio.baidu.com/datasetdetail/139820,
CCPD2020(New energy plate),https://aistudio.baidu.com/datasetdetail/101595,
常规赛-人流密度预测数据集,https://aistudio.baidu.com/datasetdetail/1917,
ILSVRC2012 ImageNet mini数据集,https://aistudio.baidu.com/datasetdetail/89857,
人体摔倒姿态检测,https://aistudio.baidu.com/datasetdetail/115779,
车辆识别,https://aistudio.baidu.com/datasetdetail/106452,
IMDB情感分析数据集,https://aistudio.baidu.com/datasetdetail/14926,
垃圾分类数据集ImageNet格式,https://aistudio.baidu.com/datasetdetail/77996,
道路路面病害数据集,https://aistudio.baidu.com/datasetdetail/93683,
常规赛-中文新闻文本标题分类数据集,https://aistudio.baidu.com/datasetdetail/103654,
中国主要城市经纬度数据集,https://aistudio.baidu.com/datasetdetail/49718,
中文医学问答,https://aistudio.baidu.com/datasetdetail/84360,
sovits4.1底模,https://aistudio.baidu.com/datasetdetail/230602,
COCO2017数据集,https://aistudio.baidu.com/datasetdetail/7122,
各国每年人均GDP数据csv,https://aistudio.baidu.com/datasetdetail/103309,
five_fight_datasets,https://aistudio.baidu.com/datasetdetail/149085,
Stable-Diffusion大模型合集,https://aistudio.baidu.com/datasetdetail/229240,
电表OCR数据集,https://aistudio.baidu.com/datasetdetail/117381,
垃圾分类ImageNet,https://aistudio.baidu.com/datasetdetail/43905,
场景分类数据集,https://aistudio.baidu.com/datasetdetail/38478,
猫狗分类,https://aistudio.baidu.com/datasetdetail/87011,
SCUT-HEAD头部检测数据集（Pascal VOC标准）,https://aistudio.baidu.com/datasetdetail/104969,
MINIST-官方数据集,https://aistudio.baidu.com/datasetdetail/116648,
LCSTS自动摘要数据集,https://aistudio.baidu.com/datasetdetail/127041,
fire-smoke,https://aistudio.baidu.com/datasetdetail/107770,
CIFAR10,https://aistudio.baidu.com/datasetdetail/152754,
VOC车辆,https://aistudio.baidu.com/datasetdetail/55670,
猫脸识别-12种猫分类数据集,https://aistudio.baidu.com/datasetdetail/10954,
WMT-ENZH-Transformer,https://aistudio.baidu.com/datasetdetail/16460,
疲劳检测,https://aistudio.baidu.com/datasetdetail/105521,
yanderify数据集,https://aistudio.baidu.com/datasetdetail/53955,
dodo,https://aistudio.baidu.com/datasetdetail/41298,
ade20k,https://aistudio.baidu.com/datasetdetail/26423,
LAC-代码,https://aistudio.baidu.com/datasetdetail/20319,
k_test,https://aistudio.baidu.com/datasetdetail/54895,
机器学习-实践二十一：基于CBOW实现Word2Vec,https://aistudio.baidu.com/datasetdetail/130505,
师资培训宝石数据集,https://aistudio.baidu.com/datasetdetail/66363,
【自然语言处理】- 19、实践十九：基于注意力机制的英文新闻标题生成,https://aistudio.baidu.com/datasetdetail/158132,
ttv2,https://aistudio.baidu.com/datasetdetail/209579,
reuters 21578数据集,https://aistudio.baidu.com/datasetdetail/36324,
opt_linux2.8rc,https://aistudio.baidu.com/datasetdetail/71619,
国风自融JSK素材,https://aistudio.baidu.com/datasetdetail/185271,
mini-traffic,https://aistudio.baidu.com/datasetdetail/40016,
数据准备和特征工程2-4,https://aistudio.baidu.com/datasetdetail/20510,
数据准备和特征工程5-1,https://aistudio.baidu.com/datasetdetail/20537,
时间滑窗特征,https://aistudio.baidu.com/datasetdetail/32140,
逻辑斯蒂回归上课用数据集,https://aistudio.baidu.com/datasetdetail/34751,
nnunet_2d_and_cascade_lowres_weight,https://aistudio.baidu.com/datasetdetail/169512,
remove,https://aistudio.baidu.com/datasetdetail/46804,
camp_cat_logist_homework,https://aistudio.baidu.com/datasetdetail/7141,
SKU110k-trainval,https://aistudio.baidu.com/datasetdetail/54250,
ML-20M,https://aistudio.baidu.com/datasetdetail/173799,
BERT—DEMO,https://aistudio.baidu.com/datasetdetail/9481,
场景分类预测数据,https://aistudio.baidu.com/datasetdetail/35458,
infer,https://aistudio.baidu.com/datasetdetail/77176,
预训练权重,https://aistudio.baidu.com/datasetdetail/97866,
新冠检测盒结果目标检测数据集,https://aistudio.baidu.com/datasetdetail/145153,
【自然语言处理】-3、实践三：海量文件遍历3、实践三：海量文件遍历,https://aistudio.baidu.com/datasetdetail/158075,
home work 1,https://aistudio.baidu.com/datasetdetail/111257,
数据准备和特征工程2-3,https://aistudio.baidu.com/datasetdetail/20507,
VIG,https://aistudio.baidu.com/datasetdetail/155707,
【自然语言处理】- 20、实践二十：基于Transformer的英文自动文摘,https://aistudio.baidu.com/datasetdetail/158135,
Penn Treebank数据集_子集,https://aistudio.baidu.com/datasetdetail/11887,
Free Spoken Digit Dataset,https://aistudio.baidu.com/datasetdetail/51954,
data.txt,https://aistudio.baidu.com/datasetdetail/76645,
清源 CPM (Chinese Pretrained Models) 预训练模型,https://aistudio.baidu.com/datasetdetail/62514,
MSD_Lung,https://aistudio.baidu.com/datasetdetail/125872,
斑马线图片分类数据集,https://aistudio.baidu.com/datasetdetail/17066,
